audio_id,mfcc_path,mel_spectrogram_path,pitch_path,tempo_path,sample_rate,duration_seconds,mfcc_shape,mel_spectrogram_shape,pitch_shape,tempo_shape,feature_format
librispeech_0012,data\features\audio_npy\librispeech_0012_mfcc.npy,data\features\audio_npy\librispeech_0012_mel_spectrogram.npy,data\features\audio_npy\librispeech_0012_pitch.npy,data\features\audio_npy\librispeech_0012_tempo.npy,16000,2.495,"(13, 78)","(128, 78)","(76,)","(1,)",npy
librispeech_0013,data\features\audio_npy\librispeech_0013_mfcc.npy,data\features\audio_npy\librispeech_0013_mel_spectrogram.npy,data\features\audio_npy\librispeech_0013_pitch.npy,data\features\audio_npy\librispeech_0013_tempo.npy,16000,6.09,"(13, 191)","(128, 191)","(179,)","(1,)",npy
librispeech_0014,data\features\audio_npy\librispeech_0014_mfcc.npy,data\features\audio_npy\librispeech_0014_mel_spectrogram.npy,data\features\audio_npy\librispeech_0014_pitch.npy,data\features\audio_npy\librispeech_0014_tempo.npy,16000,4.07,"(13, 128)","(128, 128)","(127,)","(1,)",npy
librispeech_0015,data\features\audio_npy\librispeech_0015_mfcc.npy,data\features\audio_npy\librispeech_0015_mel_spectrogram.npy,data\features\audio_npy\librispeech_0015_pitch.npy,data\features\audio_npy\librispeech_0015_tempo.npy,16000,3.675,"(13, 115)","(128, 115)","(110,)","(1,)",npy
librispeech_0016,data\features\audio_npy\librispeech_0016_mfcc.npy,data\features\audio_npy\librispeech_0016_mel_spectrogram.npy,data\features\audio_npy\librispeech_0016_pitch.npy,data\features\audio_npy\librispeech_0016_tempo.npy,16000,2.785,"(13, 88)","(128, 88)","(88,)","(1,)",npy
librispeech_0017,data\features\audio_npy\librispeech_0017_mfcc.npy,data\features\audio_npy\librispeech_0017_mel_spectrogram.npy,data\features\audio_npy\librispeech_0017_pitch.npy,data\features\audio_npy\librispeech_0017_tempo.npy,16000,4.985,"(13, 156)","(128, 156)","(155,)","(1,)",npy
librispeech_0018,data\features\audio_npy\librispeech_0018_mfcc.npy,data\features\audio_npy\librispeech_0018_mel_spectrogram.npy,data\features\audio_npy\librispeech_0018_pitch.npy,data\features\audio_npy\librispeech_0018_tempo.npy,16000,4.545,"(13, 143)","(128, 143)","(141,)","(1,)",npy
librispeech_0019,data\features\audio_npy\librispeech_0019_mfcc.npy,data\features\audio_npy\librispeech_0019_mel_spectrogram.npy,data\features\audio_npy\librispeech_0019_pitch.npy,data\features\audio_npy\librispeech_0019_tempo.npy,16000,3.56,"(13, 112)","(128, 112)","(112,)","(1,)",npy
librispeech_0020,data\features\audio_npy\librispeech_0020_mfcc.npy,data\features\audio_npy\librispeech_0020_mel_spectrogram.npy,data\features\audio_npy\librispeech_0020_pitch.npy,data\features\audio_npy\librispeech_0020_tempo.npy,16000,5.285,"(13, 166)","(128, 166)","(164,)","(1,)",npy
librispeech_0021,data\features\audio_npy\librispeech_0021_mfcc.npy,data\features\audio_npy\librispeech_0021_mel_spectrogram.npy,data\features\audio_npy\librispeech_0021_pitch.npy,data\features\audio_npy\librispeech_0021_tempo.npy,16000,3.37,"(13, 106)","(128, 106)","(106,)","(1,)",npy
librispeech_0022,data\features\audio_npy\librispeech_0022_mfcc.npy,data\features\audio_npy\librispeech_0022_mel_spectrogram.npy,data\features\audio_npy\librispeech_0022_pitch.npy,data\features\audio_npy\librispeech_0022_tempo.npy,16000,3.38,"(13, 106)","(128, 106)","(102,)","(1,)",npy
librispeech_0023,data\features\audio_npy\librispeech_0023_mfcc.npy,data\features\audio_npy\librispeech_0023_mel_spectrogram.npy,data\features\audio_npy\librispeech_0023_pitch.npy,data\features\audio_npy\librispeech_0023_tempo.npy,16000,3.89,"(13, 122)","(128, 122)","(117,)","(1,)",npy
librispeech_0024,data\features\audio_npy\librispeech_0024_mfcc.npy,data\features\audio_npy\librispeech_0024_mel_spectrogram.npy,data\features\audio_npy\librispeech_0024_pitch.npy,data\features\audio_npy\librispeech_0024_tempo.npy,16000,4.5,"(13, 141)","(128, 141)","(133,)","(1,)",npy
librispeech_0025,data\features\audio_npy\librispeech_0025_mfcc.npy,data\features\audio_npy\librispeech_0025_mel_spectrogram.npy,data\features\audio_npy\librispeech_0025_pitch.npy,data\features\audio_npy\librispeech_0025_tempo.npy,16000,3.4,"(13, 107)","(128, 107)","(105,)","(1,)",npy
librispeech_0026,data\features\audio_npy\librispeech_0026_mfcc.npy,data\features\audio_npy\librispeech_0026_mel_spectrogram.npy,data\features\audio_npy\librispeech_0026_pitch.npy,data\features\audio_npy\librispeech_0026_tempo.npy,16000,4.92,"(13, 154)","(128, 154)","(154,)","(1,)",npy
librispeech_0027,data\features\audio_npy\librispeech_0027_mfcc.npy,data\features\audio_npy\librispeech_0027_mel_spectrogram.npy,data\features\audio_npy\librispeech_0027_pitch.npy,data\features\audio_npy\librispeech_0027_tempo.npy,16000,3.595,"(13, 113)","(128, 113)","(111,)","(1,)",npy
librispeech_0028,data\features\audio_npy\librispeech_0028_mfcc.npy,data\features\audio_npy\librispeech_0028_mel_spectrogram.npy,data\features\audio_npy\librispeech_0028_pitch.npy,data\features\audio_npy\librispeech_0028_tempo.npy,16000,2.9,"(13, 91)","(128, 91)","(91,)","(1,)",npy
librispeech_0029,data\features\audio_npy\librispeech_0029_mfcc.npy,data\features\audio_npy\librispeech_0029_mel_spectrogram.npy,data\features\audio_npy\librispeech_0029_pitch.npy,data\features\audio_npy\librispeech_0029_tempo.npy,16000,2.6,"(13, 82)","(128, 82)","(81,)","(1,)",npy
librispeech_0030,data\features\audio_npy\librispeech_0030_mfcc.npy,data\features\audio_npy\librispeech_0030_mel_spectrogram.npy,data\features\audio_npy\librispeech_0030_pitch.npy,data\features\audio_npy\librispeech_0030_tempo.npy,16000,6.3,"(13, 197)","(128, 197)","(195,)","(1,)",npy
librispeech_0031,data\features\audio_npy\librispeech_0031_mfcc.npy,data\features\audio_npy\librispeech_0031_mel_spectrogram.npy,data\features\audio_npy\librispeech_0031_pitch.npy,data\features\audio_npy\librispeech_0031_tempo.npy,16000,3.61,"(13, 113)","(128, 113)","(113,)","(1,)",npy
librispeech_0032,data\features\audio_npy\librispeech_0032_mfcc.npy,data\features\audio_npy\librispeech_0032_mel_spectrogram.npy,data\features\audio_npy\librispeech_0032_pitch.npy,data\features\audio_npy\librispeech_0032_tempo.npy,16000,10.77,"(13, 337)","(128, 337)","(321,)","(1,)",npy
librispeech_0033,data\features\audio_npy\librispeech_0033_mfcc.npy,data\features\audio_npy\librispeech_0033_mel_spectrogram.npy,data\features\audio_npy\librispeech_0033_pitch.npy,data\features\audio_npy\librispeech_0033_tempo.npy,16000,2.845,"(13, 89)","(128, 89)","(89,)","(1,)",npy
librispeech_0034,data\features\audio_npy\librispeech_0034_mfcc.npy,data\features\audio_npy\librispeech_0034_mel_spectrogram.npy,data\features\audio_npy\librispeech_0034_pitch.npy,data\features\audio_npy\librispeech_0034_tempo.npy,16000,4.005,"(13, 126)","(128, 126)","(120,)","(1,)",npy
librispeech_0035,data\features\audio_npy\librispeech_0035_mfcc.npy,data\features\audio_npy\librispeech_0035_mel_spectrogram.npy,data\features\audio_npy\librispeech_0035_pitch.npy,data\features\audio_npy\librispeech_0035_tempo.npy,16000,4.395,"(13, 138)","(128, 138)","(134,)","(1,)",npy
librispeech_0036,data\features\audio_npy\librispeech_0036_mfcc.npy,data\features\audio_npy\librispeech_0036_mel_spectrogram.npy,data\features\audio_npy\librispeech_0036_pitch.npy,data\features\audio_npy\librispeech_0036_tempo.npy,16000,2.755,"(13, 87)","(128, 87)","(84,)","(1,)",npy
librispeech_0037,data\features\audio_npy\librispeech_0037_mfcc.npy,data\features\audio_npy\librispeech_0037_mel_spectrogram.npy,data\features\audio_npy\librispeech_0037_pitch.npy,data\features\audio_npy\librispeech_0037_tempo.npy,16000,6.54,"(13, 205)","(128, 205)","(204,)","(1,)",npy
librispeech_0038,data\features\audio_npy\librispeech_0038_mfcc.npy,data\features\audio_npy\librispeech_0038_mel_spectrogram.npy,data\features\audio_npy\librispeech_0038_pitch.npy,data\features\audio_npy\librispeech_0038_tempo.npy,16000,4.84,"(13, 152)","(128, 152)","(139,)","(1,)",npy
librispeech_0039,data\features\audio_npy\librispeech_0039_mfcc.npy,data\features\audio_npy\librispeech_0039_mel_spectrogram.npy,data\features\audio_npy\librispeech_0039_pitch.npy,data\features\audio_npy\librispeech_0039_tempo.npy,16000,5.735,"(13, 180)","(128, 180)","(176,)","(1,)",npy
librispeech_0040,data\features\audio_npy\librispeech_0040_mfcc.npy,data\features\audio_npy\librispeech_0040_mel_spectrogram.npy,data\features\audio_npy\librispeech_0040_pitch.npy,data\features\audio_npy\librispeech_0040_tempo.npy,16000,11.465,"(13, 359)","(128, 359)","(336,)","(1,)",npy
librispeech_0041,data\features\audio_npy\librispeech_0041_mfcc.npy,data\features\audio_npy\librispeech_0041_mel_spectrogram.npy,data\features\audio_npy\librispeech_0041_pitch.npy,data\features\audio_npy\librispeech_0041_tempo.npy,16000,3.385,"(13, 106)","(128, 106)","(101,)","(1,)",npy
librispeech_0042,data\features\audio_npy\librispeech_0042_mfcc.npy,data\features\audio_npy\librispeech_0042_mel_spectrogram.npy,data\features\audio_npy\librispeech_0042_pitch.npy,data\features\audio_npy\librispeech_0042_tempo.npy,16000,7.855,"(13, 246)","(128, 246)","(201,)","(1,)",npy
librispeech_0043,data\features\audio_npy\librispeech_0043_mfcc.npy,data\features\audio_npy\librispeech_0043_mel_spectrogram.npy,data\features\audio_npy\librispeech_0043_pitch.npy,data\features\audio_npy\librispeech_0043_tempo.npy,16000,2.88,"(13, 91)","(128, 91)","(82,)","(1,)",npy
librispeech_0044,data\features\audio_npy\librispeech_0044_mfcc.npy,data\features\audio_npy\librispeech_0044_mel_spectrogram.npy,data\features\audio_npy\librispeech_0044_pitch.npy,data\features\audio_npy\librispeech_0044_tempo.npy,16000,3.725,"(13, 117)","(128, 117)","(116,)","(1,)",npy
librispeech_0045,data\features\audio_npy\librispeech_0045_mfcc.npy,data\features\audio_npy\librispeech_0045_mel_spectrogram.npy,data\features\audio_npy\librispeech_0045_pitch.npy,data\features\audio_npy\librispeech_0045_tempo.npy,16000,3.625,"(13, 114)","(128, 114)","(114,)","(1,)",npy
librispeech_0046,data\features\audio_npy\librispeech_0046_mfcc.npy,data\features\audio_npy\librispeech_0046_mel_spectrogram.npy,data\features\audio_npy\librispeech_0046_pitch.npy,data\features\audio_npy\librispeech_0046_tempo.npy,16000,3.3,"(13, 104)","(128, 104)","(99,)","(1,)",npy
librispeech_0047,data\features\audio_npy\librispeech_0047_mfcc.npy,data\features\audio_npy\librispeech_0047_mel_spectrogram.npy,data\features\audio_npy\librispeech_0047_pitch.npy,data\features\audio_npy\librispeech_0047_tempo.npy,16000,3.09,"(13, 97)","(128, 97)","(96,)","(1,)",npy
librispeech_0048,data\features\audio_npy\librispeech_0048_mfcc.npy,data\features\audio_npy\librispeech_0048_mel_spectrogram.npy,data\features\audio_npy\librispeech_0048_pitch.npy,data\features\audio_npy\librispeech_0048_tempo.npy,16000,4.415,"(13, 138)","(128, 138)","(138,)","(1,)",npy
librispeech_0049,data\features\audio_npy\librispeech_0049_mfcc.npy,data\features\audio_npy\librispeech_0049_mel_spectrogram.npy,data\features\audio_npy\librispeech_0049_pitch.npy,data\features\audio_npy\librispeech_0049_tempo.npy,16000,4.62,"(13, 145)","(128, 145)","(142,)","(1,)",npy
librispeech_0050,data\features\audio_npy\librispeech_0050_mfcc.npy,data\features\audio_npy\librispeech_0050_mel_spectrogram.npy,data\features\audio_npy\librispeech_0050_pitch.npy,data\features\audio_npy\librispeech_0050_tempo.npy,16000,3.04,"(13, 96)","(128, 96)","(95,)","(1,)",npy
librispeech_0051,data\features\audio_npy\librispeech_0051_mfcc.npy,data\features\audio_npy\librispeech_0051_mel_spectrogram.npy,data\features\audio_npy\librispeech_0051_pitch.npy,data\features\audio_npy\librispeech_0051_tempo.npy,16000,6.54,"(13, 205)","(128, 205)","(179,)","(1,)",npy
librispeech_0052,data\features\audio_npy\librispeech_0052_mfcc.npy,data\features\audio_npy\librispeech_0052_mel_spectrogram.npy,data\features\audio_npy\librispeech_0052_pitch.npy,data\features\audio_npy\librispeech_0052_tempo.npy,16000,7.3,"(13, 229)","(128, 229)","(218,)","(1,)",npy
librispeech_0053,data\features\audio_npy\librispeech_0053_mfcc.npy,data\features\audio_npy\librispeech_0053_mel_spectrogram.npy,data\features\audio_npy\librispeech_0053_pitch.npy,data\features\audio_npy\librispeech_0053_tempo.npy,16000,6.745,"(13, 211)","(128, 211)","(197,)","(1,)",npy
librispeech_0054,data\features\audio_npy\librispeech_0054_mfcc.npy,data\features\audio_npy\librispeech_0054_mel_spectrogram.npy,data\features\audio_npy\librispeech_0054_pitch.npy,data\features\audio_npy\librispeech_0054_tempo.npy,16000,4.85,"(13, 152)","(128, 152)","(141,)","(1,)",npy
librispeech_0055,data\features\audio_npy\librispeech_0055_mfcc.npy,data\features\audio_npy\librispeech_0055_mel_spectrogram.npy,data\features\audio_npy\librispeech_0055_pitch.npy,data\features\audio_npy\librispeech_0055_tempo.npy,16000,4.62,"(13, 145)","(128, 145)","(141,)","(1,)",npy
librispeech_0056,data\features\audio_npy\librispeech_0056_mfcc.npy,data\features\audio_npy\librispeech_0056_mel_spectrogram.npy,data\features\audio_npy\librispeech_0056_pitch.npy,data\features\audio_npy\librispeech_0056_tempo.npy,16000,4.685,"(13, 147)","(128, 147)","(143,)","(1,)",npy
librispeech_0057,data\features\audio_npy\librispeech_0057_mfcc.npy,data\features\audio_npy\librispeech_0057_mel_spectrogram.npy,data\features\audio_npy\librispeech_0057_pitch.npy,data\features\audio_npy\librispeech_0057_tempo.npy,16000,10.05,"(13, 315)","(128, 315)","(308,)","(1,)",npy
librispeech_0058,data\features\audio_npy\librispeech_0058_mfcc.npy,data\features\audio_npy\librispeech_0058_mel_spectrogram.npy,data\features\audio_npy\librispeech_0058_pitch.npy,data\features\audio_npy\librispeech_0058_tempo.npy,16000,3.31,"(13, 104)","(128, 104)","(98,)","(1,)",npy
librispeech_0059,data\features\audio_npy\librispeech_0059_mfcc.npy,data\features\audio_npy\librispeech_0059_mel_spectrogram.npy,data\features\audio_npy\librispeech_0059_pitch.npy,data\features\audio_npy\librispeech_0059_tempo.npy,16000,2.935,"(13, 92)","(128, 92)","(90,)","(1,)",npy
librispeech_0060,data\features\audio_npy\librispeech_0060_mfcc.npy,data\features\audio_npy\librispeech_0060_mel_spectrogram.npy,data\features\audio_npy\librispeech_0060_pitch.npy,data\features\audio_npy\librispeech_0060_tempo.npy,16000,4.285,"(13, 134)","(128, 134)","(130,)","(1,)",npy
librispeech_0061,data\features\audio_npy\librispeech_0061_mfcc.npy,data\features\audio_npy\librispeech_0061_mel_spectrogram.npy,data\features\audio_npy\librispeech_0061_pitch.npy,data\features\audio_npy\librispeech_0061_tempo.npy,16000,6.815,"(13, 213)","(128, 213)","(200,)","(1,)",npy
librispeech_0062,data\features\audio_npy\librispeech_0062_mfcc.npy,data\features\audio_npy\librispeech_0062_mel_spectrogram.npy,data\features\audio_npy\librispeech_0062_pitch.npy,data\features\audio_npy\librispeech_0062_tempo.npy,16000,3.515,"(13, 110)","(128, 110)","(109,)","(1,)",npy
librispeech_0063,data\features\audio_npy\librispeech_0063_mfcc.npy,data\features\audio_npy\librispeech_0063_mel_spectrogram.npy,data\features\audio_npy\librispeech_0063_pitch.npy,data\features\audio_npy\librispeech_0063_tempo.npy,16000,3.625,"(13, 114)","(128, 114)","(111,)","(1,)",npy
librispeech_0064,data\features\audio_npy\librispeech_0064_mfcc.npy,data\features\audio_npy\librispeech_0064_mel_spectrogram.npy,data\features\audio_npy\librispeech_0064_pitch.npy,data\features\audio_npy\librispeech_0064_tempo.npy,16000,7.645,"(13, 239)","(128, 239)","(237,)","(1,)",npy
librispeech_0065,data\features\audio_npy\librispeech_0065_mfcc.npy,data\features\audio_npy\librispeech_0065_mel_spectrogram.npy,data\features\audio_npy\librispeech_0065_pitch.npy,data\features\audio_npy\librispeech_0065_tempo.npy,16000,2.55,"(13, 80)","(128, 80)","(75,)","(1,)",npy
librispeech_0066,data\features\audio_npy\librispeech_0066_mfcc.npy,data\features\audio_npy\librispeech_0066_mel_spectrogram.npy,data\features\audio_npy\librispeech_0066_pitch.npy,data\features\audio_npy\librispeech_0066_tempo.npy,16000,4.405,"(13, 138)","(128, 138)","(131,)","(1,)",npy
librispeech_0067,data\features\audio_npy\librispeech_0067_mfcc.npy,data\features\audio_npy\librispeech_0067_mel_spectrogram.npy,data\features\audio_npy\librispeech_0067_pitch.npy,data\features\audio_npy\librispeech_0067_tempo.npy,16000,8.69,"(13, 272)","(128, 272)","(253,)","(1,)",npy
librispeech_0068,data\features\audio_npy\librispeech_0068_mfcc.npy,data\features\audio_npy\librispeech_0068_mel_spectrogram.npy,data\features\audio_npy\librispeech_0068_pitch.npy,data\features\audio_npy\librispeech_0068_tempo.npy,16000,5.065,"(13, 159)","(128, 159)","(151,)","(1,)",npy
librispeech_0069,data\features\audio_npy\librispeech_0069_mfcc.npy,data\features\audio_npy\librispeech_0069_mel_spectrogram.npy,data\features\audio_npy\librispeech_0069_pitch.npy,data\features\audio_npy\librispeech_0069_tempo.npy,16000,12.16,"(13, 381)","(128, 381)","(365,)","(1,)",npy
librispeech_0070,data\features\audio_npy\librispeech_0070_mfcc.npy,data\features\audio_npy\librispeech_0070_mel_spectrogram.npy,data\features\audio_npy\librispeech_0070_pitch.npy,data\features\audio_npy\librispeech_0070_tempo.npy,16000,3.45,"(13, 108)","(128, 108)","(85,)","(1,)",npy
librispeech_0071,data\features\audio_npy\librispeech_0071_mfcc.npy,data\features\audio_npy\librispeech_0071_mel_spectrogram.npy,data\features\audio_npy\librispeech_0071_pitch.npy,data\features\audio_npy\librispeech_0071_tempo.npy,16000,4.42,"(13, 139)","(128, 139)","(125,)","(1,)",npy
librispeech_0072,data\features\audio_npy\librispeech_0072_mfcc.npy,data\features\audio_npy\librispeech_0072_mel_spectrogram.npy,data\features\audio_npy\librispeech_0072_pitch.npy,data\features\audio_npy\librispeech_0072_tempo.npy,16000,3.01,"(13, 95)","(128, 95)","(93,)","(1,)",npy
librispeech_0073,data\features\audio_npy\librispeech_0073_mfcc.npy,data\features\audio_npy\librispeech_0073_mel_spectrogram.npy,data\features\audio_npy\librispeech_0073_pitch.npy,data\features\audio_npy\librispeech_0073_tempo.npy,16000,15.505,"(13, 485)","(128, 485)","(447,)","(1,)",npy
librispeech_0074,data\features\audio_npy\librispeech_0074_mfcc.npy,data\features\audio_npy\librispeech_0074_mel_spectrogram.npy,data\features\audio_npy\librispeech_0074_pitch.npy,data\features\audio_npy\librispeech_0074_tempo.npy,16000,7.04,"(13, 221)","(128, 221)","(207,)","(1,)",npy
librispeech_0075,data\features\audio_npy\librispeech_0075_mfcc.npy,data\features\audio_npy\librispeech_0075_mel_spectrogram.npy,data\features\audio_npy\librispeech_0075_pitch.npy,data\features\audio_npy\librispeech_0075_tempo.npy,16000,5.095,"(13, 160)","(128, 160)","(141,)","(1,)",npy
librispeech_0076,data\features\audio_npy\librispeech_0076_mfcc.npy,data\features\audio_npy\librispeech_0076_mel_spectrogram.npy,data\features\audio_npy\librispeech_0076_pitch.npy,data\features\audio_npy\librispeech_0076_tempo.npy,16000,7.7,"(13, 241)","(128, 241)","(219,)","(1,)",npy
librispeech_0077,data\features\audio_npy\librispeech_0077_mfcc.npy,data\features\audio_npy\librispeech_0077_mel_spectrogram.npy,data\features\audio_npy\librispeech_0077_pitch.npy,data\features\audio_npy\librispeech_0077_tempo.npy,16000,3.215,"(13, 101)","(128, 101)","(90,)","(1,)",npy
librispeech_0078,data\features\audio_npy\librispeech_0078_mfcc.npy,data\features\audio_npy\librispeech_0078_mel_spectrogram.npy,data\features\audio_npy\librispeech_0078_pitch.npy,data\features\audio_npy\librispeech_0078_tempo.npy,16000,6.37,"(13, 200)","(128, 200)","(173,)","(1,)",npy
librispeech_0079,data\features\audio_npy\librispeech_0079_mfcc.npy,data\features\audio_npy\librispeech_0079_mel_spectrogram.npy,data\features\audio_npy\librispeech_0079_pitch.npy,data\features\audio_npy\librispeech_0079_tempo.npy,16000,2.745,"(13, 86)","(128, 86)","(83,)","(1,)",npy
librispeech_0080,data\features\audio_npy\librispeech_0080_mfcc.npy,data\features\audio_npy\librispeech_0080_mel_spectrogram.npy,data\features\audio_npy\librispeech_0080_pitch.npy,data\features\audio_npy\librispeech_0080_tempo.npy,16000,4.4,"(13, 138)","(128, 138)","(123,)","(1,)",npy
librispeech_0081,data\features\audio_npy\librispeech_0081_mfcc.npy,data\features\audio_npy\librispeech_0081_mel_spectrogram.npy,data\features\audio_npy\librispeech_0081_pitch.npy,data\features\audio_npy\librispeech_0081_tempo.npy,16000,5.385,"(13, 169)","(128, 169)","(156,)","(1,)",npy
librispeech_0082,data\features\audio_npy\librispeech_0082_mfcc.npy,data\features\audio_npy\librispeech_0082_mel_spectrogram.npy,data\features\audio_npy\librispeech_0082_pitch.npy,data\features\audio_npy\librispeech_0082_tempo.npy,16000,3.35,"(13, 105)","(128, 105)","(100,)","(1,)",npy
librispeech_0083,data\features\audio_npy\librispeech_0083_mfcc.npy,data\features\audio_npy\librispeech_0083_mel_spectrogram.npy,data\features\audio_npy\librispeech_0083_pitch.npy,data\features\audio_npy\librispeech_0083_tempo.npy,16000,7.42,"(13, 232)","(128, 232)","(197,)","(1,)",npy
librispeech_0084,data\features\audio_npy\librispeech_0084_mfcc.npy,data\features\audio_npy\librispeech_0084_mel_spectrogram.npy,data\features\audio_npy\librispeech_0084_pitch.npy,data\features\audio_npy\librispeech_0084_tempo.npy,16000,2.465,"(13, 78)","(128, 78)","(62,)","(1,)",npy
librispeech_0085,data\features\audio_npy\librispeech_0085_mfcc.npy,data\features\audio_npy\librispeech_0085_mel_spectrogram.npy,data\features\audio_npy\librispeech_0085_pitch.npy,data\features\audio_npy\librispeech_0085_tempo.npy,16000,5.08,"(13, 159)","(128, 159)","(134,)","(1,)",npy
librispeech_0086,data\features\audio_npy\librispeech_0086_mfcc.npy,data\features\audio_npy\librispeech_0086_mel_spectrogram.npy,data\features\audio_npy\librispeech_0086_pitch.npy,data\features\audio_npy\librispeech_0086_tempo.npy,16000,3.16,"(13, 99)","(128, 99)","(90,)","(1,)",npy
librispeech_0087,data\features\audio_npy\librispeech_0087_mfcc.npy,data\features\audio_npy\librispeech_0087_mel_spectrogram.npy,data\features\audio_npy\librispeech_0087_pitch.npy,data\features\audio_npy\librispeech_0087_tempo.npy,16000,8.6,"(13, 269)","(128, 269)","(251,)","(1,)",npy
librispeech_0088,data\features\audio_npy\librispeech_0088_mfcc.npy,data\features\audio_npy\librispeech_0088_mel_spectrogram.npy,data\features\audio_npy\librispeech_0088_pitch.npy,data\features\audio_npy\librispeech_0088_tempo.npy,16000,4.73,"(13, 148)","(128, 148)","(134,)","(1,)",npy
librispeech_0089,data\features\audio_npy\librispeech_0089_mfcc.npy,data\features\audio_npy\librispeech_0089_mel_spectrogram.npy,data\features\audio_npy\librispeech_0089_pitch.npy,data\features\audio_npy\librispeech_0089_tempo.npy,16000,5.325,"(13, 167)","(128, 167)","(146,)","(1,)",npy
librispeech_0090,data\features\audio_npy\librispeech_0090_mfcc.npy,data\features\audio_npy\librispeech_0090_mel_spectrogram.npy,data\features\audio_npy\librispeech_0090_pitch.npy,data\features\audio_npy\librispeech_0090_tempo.npy,16000,3.36,"(13, 106)","(128, 106)","(94,)","(1,)",npy
librispeech_0091,data\features\audio_npy\librispeech_0091_mfcc.npy,data\features\audio_npy\librispeech_0091_mel_spectrogram.npy,data\features\audio_npy\librispeech_0091_pitch.npy,data\features\audio_npy\librispeech_0091_tempo.npy,16000,5.02,"(13, 157)","(128, 157)","(147,)","(1,)",npy
