audio_id,audio_path,transcript,sample_rate,source,split
librispeech_0084,data\raw\librispeech_sample\librispeech_0084.wav,HE SEEMED TO BE THINKING OF SOMETHING ELSE,16000,LibriSpeech dev-clean,validation
librispeech_0085,data\raw\librispeech_sample\librispeech_0085.wav,MINNIE BEGAN TO EXPLAIN BUT HER HUSBAND TOOK THIS PART OF THE CONVERSATION TO HIMSELF,16000,LibriSpeech dev-clean,validation
librispeech_0086,data\raw\librispeech_sample\librispeech_0086.wav,YOU COULD GET HOME EASY TOO IT ISN'T VERY FAR,16000,LibriSpeech dev-clean,validation
librispeech_0087,data\raw\librispeech_sample\librispeech_0087.wav,SHE ASKED MINNIE FOR INK AND PAPER WHICH WERE UPON THE MANTEL IN THE DINING ROOM AND WHEN THE LATTER HAD GONE TO BED AT TEN GOT OUT DROUET'S CARD AND WROTE HIM,16000,LibriSpeech dev-clean,validation
librispeech_0088,data\raw\librispeech_sample\librispeech_0088.wav,SHE WANTED TO MAKE SOME REFERENCE TO THEIR RELATIONS UPON THE TRAIN BUT WAS TOO TIMID,16000,LibriSpeech dev-clean,validation
librispeech_0089,data\raw\librispeech_sample\librispeech_0089.wav,ANYTHING WAS GOOD ENOUGH SO LONG AS IT PAID SAY FIVE DOLLARS A WEEK TO BEGIN WITH,16000,LibriSpeech dev-clean,validation
librispeech_0090,data\raw\librispeech_sample\librispeech_0090.wav,A SHOP GIRL WAS THE DESTINY PREFIGURED FOR THE NEWCOMER,16000,LibriSpeech dev-clean,validation
librispeech_0091,data\raw\librispeech_sample\librispeech_0091.wav,IT WAS UNDER SUCH AUSPICIOUS CIRCUMSTANCES THAT SHE STARTED OUT THIS MORNING TO LOOK FOR WORK,16000,LibriSpeech dev-clean,validation
librispeech_0092,data\raw\librispeech_sample\librispeech_0092.wav,NARROW BOARD WALKS EXTENDED OUT PASSING HERE A HOUSE AND THERE A STORE AT FAR INTERVALS EVENTUALLY ENDING ON THE OPEN PRAIRIE,16000,LibriSpeech dev-clean,validation
librispeech_0093,data\raw\librispeech_sample\librispeech_0093.wav,IT GAVE AN IMPOSING APPEARANCE TO MOST OF THE WHOLESALE HOUSES WHOSE OFFICES WERE UPON THE GROUND FLOOR AND IN PLAIN VIEW OF THE STREET,16000,LibriSpeech dev-clean,validation
librispeech_0094,data\raw\librispeech_sample\librispeech_0094.wav,THESE VAST BUILDINGS WHAT WERE THEY,16000,LibriSpeech dev-clean,validation
librispeech_0095,data\raw\librispeech_sample\librispeech_0095.wav,SHE WAS FOUR YEARS OLDER THAN I TO BE SURE AND HAD SEEN MORE OF THE WORLD BUT I WAS A BOY AND SHE WAS A GIRL AND I RESENTED HER PROTECTING MANNER,16000,LibriSpeech dev-clean,validation
librispeech_0096,data\raw\librispeech_sample\librispeech_0096.wav,THIS CHANGE CAME ABOUT FROM AN ADVENTURE WE HAD TOGETHER,16000,LibriSpeech dev-clean,validation
librispeech_0097,data\raw\librispeech_sample\librispeech_0097.wav,ONE DAY WHEN I RODE OVER TO THE SHIMERDAS I FOUND ANTONIA STARTING OFF ON FOOT FOR RUSSIAN PETER'S HOUSE TO BORROW A SPADE AMBROSCH NEEDED,16000,LibriSpeech dev-clean,validation
librispeech_0098,data\raw\librispeech_sample\librispeech_0098.wav,THERE HAD BEEN ANOTHER BLACK FROST THE NIGHT BEFORE AND THE AIR WAS CLEAR AND HEADY AS WINE,16000,LibriSpeech dev-clean,validation
librispeech_0099,data\raw\librispeech_sample\librispeech_0099.wav,IT WAS ON ONE OF THESE GRAVEL BEDS THAT I MET MY ADVENTURE,16000,LibriSpeech dev-clean,validation
librispeech_0100,data\raw\librispeech_sample\librispeech_0100.wav,I WHIRLED ROUND AND THERE ON ONE OF THOSE DRY GRAVEL BEDS WAS THE BIGGEST SNAKE I HAD EVER SEEN,16000,LibriSpeech dev-clean,validation
librispeech_0101,data\raw\librispeech_sample\librispeech_0101.wav,I KNOW I AM JUST AWFUL JIM I WAS SO SCARED,16000,LibriSpeech dev-clean,validation
librispeech_0102,data\raw\librispeech_sample\librispeech_0102.wav,I NEVER KNOW YOU WAS SO BRAVE JIM SHE WENT ON COMFORTINGLY,16000,LibriSpeech dev-clean,validation
librispeech_0103,data\raw\librispeech_sample\librispeech_0103.wav,A FAINT FETID SMELL CAME FROM HIM AND A THREAD OF GREEN LIQUID OOZED FROM HIS CRUSHED HEAD,16000,LibriSpeech dev-clean,validation
librispeech_0104,data\raw\librispeech_sample\librispeech_0104.wav,LOOK TONY THAT'S HIS POISON I SAID,16000,LibriSpeech dev-clean,validation
librispeech_0105,data\raw\librispeech_sample\librispeech_0105.wav,I EXPLAINED TO ANTONIA HOW THIS MEANT THAT HE WAS TWENTY FOUR YEARS OLD THAT HE MUST HAVE BEEN THERE WHEN WHITE MEN FIRST CAME LEFT ON FROM BUFFALO AND INDIAN TIMES,16000,LibriSpeech dev-clean,validation
librispeech_0106,data\raw\librispeech_sample\librispeech_0106.wav,WE DECIDED THAT ANTONIA SHOULD RIDE DUDE HOME AND I WOULD WALK,16000,LibriSpeech dev-clean,validation
librispeech_0107,data\raw\librispeech_sample\librispeech_0107.wav,I FOLLOWED WITH THE SPADE OVER MY SHOULDER DRAGGING MY SNAKE,16000,LibriSpeech dev-clean,validation
librispeech_0108,data\raw\librispeech_sample\librispeech_0108.wav,OTTO FUCHS WAS THE FIRST ONE WE MET,16000,LibriSpeech dev-clean,validation
librispeech_0109,data\raw\librispeech_sample\librispeech_0109.wav,HE COULD STAND RIGHT UP AND TALK TO YOU HE COULD DID HE FIGHT HARD,16000,LibriSpeech dev-clean,validation
librispeech_0110,data\raw\librispeech_sample\librispeech_0110.wav,OTTO WINKED AT ME,16000,LibriSpeech dev-clean,validation
librispeech_0111,data\raw\librispeech_sample\librispeech_0111.wav,A SNAKE OF HIS SIZE IN FIGHTING TRIM WOULD BE MORE THAN ANY BOY COULD HANDLE,16000,LibriSpeech dev-clean,validation
librispeech_0112,data\raw\librispeech_sample\librispeech_0112.wav,THROUGHOUT THIS CENTURY THE POWER OF THE CHURCH WAS CONSTANTLY ON THE INCREASE AND IS VISIBLE IN MANY IMPORTANT CHANGES,16000,LibriSpeech dev-clean,validation
librispeech_0113,data\raw\librispeech_sample\librispeech_0113.wav,THE ANCESTORS OF THE PRESENT PRETENDER CONGAL SURNAMED THE SQUINT EYED HAD TWICE RECEIVED AND CHERISHED THE LICENTIOUS BARDS WHEN UNDER THE BAN OF TARA AND HIS POPULARITY WITH THAT STILL POWERFUL ORDER WAS ONE PROP OF HIS AMBITION,16000,LibriSpeech dev-clean,validation
librispeech_0114,data\raw\librispeech_sample\librispeech_0114.wav,IT IS PRETTY CLEAR ALSO THAT THE LAST RALLY OF DRUIDISM AGAINST CHRISTIANITY TOOK PLACE BEHIND HIS BANNER ON THE PLAIN OF MOIRA,16000,LibriSpeech dev-clean,validation
librispeech_0115,data\raw\librispeech_sample\librispeech_0115.wav,THE POETS OF SUCCEEDING AGES HAVE DWELT MUCH IN DETAIL ON THE OCCURRENCES OF THIS MEMORABLE DAY,16000,LibriSpeech dev-clean,validation
librispeech_0116,data\raw\librispeech_sample\librispeech_0116.wav,LIKE THE TWO KINGS OF SPARTA THEY REIGNED JOINTLY DIVIDING BETWEEN THEM THE LABOURS AND CARES OF STATE,16000,LibriSpeech dev-clean,validation
librispeech_0117,data\raw\librispeech_sample\librispeech_0117.wav,IT WAS THE SEASON WHEN THE ANCIENT SUN GOD HAD BEEN ACCUSTOMED TO RECEIVE HIS ANNUAL OBLATIONS AND WE CAN WELL BELIEVE THAT THOSE WHOSE HEARTS STILL TREMBLED AT THE NAME OF BEL MUST HAVE CONNECTED THE ECLIPSE AND THE PLAGUE WITH THE REVOLUTION IN THE NATIONAL WORSHIP AND THE OVERTHROW OF THE ANCIENT GODS ON THAT PLAIN OF PROSTRATION WHERE THEY HAD SO LONG RECEIVED THE HOMAGE OF AN ENTIRE PEOPLE,16000,LibriSpeech dev-clean,validation
librispeech_0118,data\raw\librispeech_sample\librispeech_0118.wav,LASTLY THE ROYAL BROTHERS FELL THEMSELVES VICTIMS TO THE EPIDEMIC WHICH SO SADLY SIGNALIZES THEIR REIGN,16000,LibriSpeech dev-clean,validation
librispeech_0119,data\raw\librispeech_sample\librispeech_0119.wav,THE ONLY CONFLICTS THAT OCCURRED ON IRISH SOIL WITH A PICTISH OR AN ANGLO SAXON FORCE IF WE EXCEPT THOSE WHO FORMED A CONTINGENT OF CONGAL'S ARMY AT MOIRA OCCURRED IN THE TIME OF THE HOSPITABLE FINNACTA,16000,LibriSpeech dev-clean,validation
librispeech_0120,data\raw\librispeech_sample\librispeech_0120.wav,AS LEADING TO THE MENTION OF OTHER INTERESTING EVENTS WE MUST SET THIS INROAD CLEARLY BEFORE THE READER,16000,LibriSpeech dev-clean,validation
librispeech_0121,data\raw\librispeech_sample\librispeech_0121.wav,THE SAXONS OF KENT AND THE SOUTHERN KINGDOMS GENERALLY WERE CONVERTED BY MISSIONARIES FROM FRANCE OR ROME OR NATIVE PREACHERS OF THE FIRST OR SECOND CHRISTIAN GENERATION THOSE OF NORTHUMBRIA RECOGNISE AS THEIR APOSTLES SAINT AIDAN AND SAINT CUTHBERT TWO FATHERS FROM IONA,16000,LibriSpeech dev-clean,validation
librispeech_0122,data\raw\librispeech_sample\librispeech_0122.wav,THE KINGDOM OF NORTHUMBRIA AS THE NAME IMPLIES EMBRACED NEARLY ALL THE COUNTRY FROM THE HUMBER TO THE PICTISH BORDER,16000,LibriSpeech dev-clean,validation
