command_text,intent_label,source,annotation_method
phone sarah,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call my brother,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call my sister,call_contact,synthetic_in_car_commands,manual_rule_based_seed
dial the last number,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call emergency contact,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call home,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call alex on mobile,call_contact,synthetic_in_car_commands,manual_rule_based_seed
make a call to david,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call my wife,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call my husband,call_contact,synthetic_in_car_commands,manual_rule_based_seed
dial customer service,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call the doctor,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call my friend priya,call_contact,synthetic_in_car_commands,manual_rule_based_seed
call my boss,call_contact,synthetic_in_car_commands,manual_rule_based_seed
return the missed call,call_contact,synthetic_in_car_commands,manual_rule_based_seed
what is the weather today,weather,synthetic_in_car_commands,manual_rule_based_seed
will it rain today,weather,synthetic_in_car_commands,manual_rule_based_seed
show me the weather forecast,weather,synthetic_in_car_commands,manual_rule_based_seed
what is the temperature outside,weather,synthetic_in_car_commands,manual_rule_based_seed
is it cold outside,weather,synthetic_in_car_commands,manual_rule_based_seed
do I need an umbrella,weather,synthetic_in_car_commands,manual_rule_based_seed
weather for this evening,weather,synthetic_in_car_commands,manual_rule_based_seed
how hot is it today,weather,synthetic_in_car_commands,manual_rule_based_seed
is there snow in the forecast,weather,synthetic_in_car_commands,manual_rule_based_seed
check the weather near me,weather,synthetic_in_car_commands,manual_rule_based_seed
what is tomorrow weather,weather,synthetic_in_car_commands,manual_rule_based_seed
tell me the weekly forecast,weather,synthetic_in_car_commands,manual_rule_based_seed
is it windy outside,weather,synthetic_in_car_commands,manual_rule_based_seed
what is the humidity,weather,synthetic_in_car_commands,manual_rule_based_seed
will there be storms today,weather,synthetic_in_car_commands,manual_rule_based_seed
weather at my destination,weather,synthetic_in_car_commands,manual_rule_based_seed
current weather please,weather,synthetic_in_car_commands,manual_rule_based_seed
show me weather updates,weather,synthetic_in_car_commands,manual_rule_based_seed
is it sunny today,weather,synthetic_in_car_commands,manual_rule_based_seed
forecast for my route,weather,synthetic_in_car_commands,manual_rule_based_seed
turn on the air conditioning,climate_control,synthetic_in_car_commands,manual_rule_based_seed
increase the temperature,climate_control,synthetic_in_car_commands,manual_rule_based_seed
decrease the temperature,climate_control,synthetic_in_car_commands,manual_rule_based_seed
set temperature to seventy two,climate_control,synthetic_in_car_commands,manual_rule_based_seed
turn on the heater,climate_control,synthetic_in_car_commands,manual_rule_based_seed
turn off the AC,climate_control,synthetic_in_car_commands,manual_rule_based_seed
make it cooler,climate_control,synthetic_in_car_commands,manual_rule_based_seed
make it warmer,climate_control,synthetic_in_car_commands,manual_rule_based_seed
turn on seat heating,climate_control,synthetic_in_car_commands,manual_rule_based_seed
turn on defrost,climate_control,synthetic_in_car_commands,manual_rule_based_seed
set fan speed to high,climate_control,synthetic_in_car_commands,manual_rule_based_seed
lower the fan speed,climate_control,synthetic_in_car_commands,manual_rule_based_seed
turn on climate control,climate_control,synthetic_in_car_commands,manual_rule_based_seed
sync the cabin temperature,climate_control,synthetic_in_car_commands,manual_rule_based_seed
turn on rear defrost,climate_control,synthetic_in_car_commands,manual_rule_based_seed
set driver temperature to seventy,climate_control,synthetic_in_car_commands,manual_rule_based_seed
set passenger temperature to seventy two,climate_control,synthetic_in_car_commands,manual_rule_based_seed
turn on air circulation,climate_control,synthetic_in_car_commands,manual_rule_based_seed
cool down the car,climate_control,synthetic_in_car_commands,manual_rule_based_seed
warm up the cabin,climate_control,synthetic_in_car_commands,manual_rule_based_seed
turn on the radio,radio,synthetic_in_car_commands,manual_rule_based_seed
play fm radio,radio,synthetic_in_car_commands,manual_rule_based_seed
switch to am radio,radio,synthetic_in_car_commands,manual_rule_based_seed
change the radio station,radio,synthetic_in_car_commands,manual_rule_based_seed
tune to ninety eight point seven,radio,synthetic_in_car_commands,manual_rule_based_seed
scan radio stations,radio,synthetic_in_car_commands,manual_rule_based_seed
save this radio station,radio,synthetic_in_car_commands,manual_rule_based_seed
play the next radio station,radio,synthetic_in_car_commands,manual_rule_based_seed
go back to the previous station,radio,synthetic_in_car_commands,manual_rule_based_seed
increase radio volume,radio,synthetic_in_car_commands,manual_rule_based_seed
mute the radio,radio,synthetic_in_car_commands,manual_rule_based_seed
turn off the radio,radio,synthetic_in_car_commands,manual_rule_based_seed
open radio,radio,synthetic_in_car_commands,manual_rule_based_seed
play news radio,radio,synthetic_in_car_commands,manual_rule_based_seed
play sports radio,radio,synthetic_in_car_commands,manual_rule_based_seed
tune to my favorite station,radio,synthetic_in_car_commands,manual_rule_based_seed
switch radio band,radio,synthetic_in_car_commands,manual_rule_based_seed
find local radio stations,radio,synthetic_in_car_commands,manual_rule_based_seed
play classical radio,radio,synthetic_in_car_commands,manual_rule_based_seed
resume radio,radio,synthetic_in_car_commands,manual_rule_based_seed
open settings,settings,synthetic_in_car_commands,manual_rule_based_seed
change display brightness,settings,synthetic_in_car_commands,manual_rule_based_seed
turn on bluetooth,settings,synthetic_in_car_commands,manual_rule_based_seed
turn off bluetooth,settings,synthetic_in_car_commands,manual_rule_based_seed
connect my phone,settings,synthetic_in_car_commands,manual_rule_based_seed
open vehicle settings,settings,synthetic_in_car_commands,manual_rule_based_seed
change language settings,settings,synthetic_in_car_commands,manual_rule_based_seed
adjust screen brightness,settings,synthetic_in_car_commands,manual_rule_based_seed
turn on dark mode,settings,synthetic_in_car_commands,manual_rule_based_seed
reset system settings,settings,synthetic_in_car_commands,manual_rule_based_seed
open sound settings,settings,synthetic_in_car_commands,manual_rule_based_seed
pair a new device,settings,synthetic_in_car_commands,manual_rule_based_seed
show system information,settings,synthetic_in_car_commands,manual_rule_based_seed
update preferences,settings,synthetic_in_car_commands,manual_rule_based_seed
open driver profile settings,settings,synthetic_in_car_commands,manual_rule_based_seed
change units to miles,settings,synthetic_in_car_commands,manual_rule_based_seed
change units to kilometers,settings,synthetic_in_car_commands,manual_rule_based_seed
turn off notifications,settings,synthetic_in_car_commands,manual_rule_based_seed
open privacy settings,settings,synthetic_in_car_commands,manual_rule_based_seed
adjust voice assistant settings,settings,synthetic_in_car_commands,manual_rule_based_seed
show traffic ahead,traffic,synthetic_in_car_commands,manual_rule_based_seed
is there traffic on my route,traffic,synthetic_in_car_commands,manual_rule_based_seed
check traffic conditions,traffic,synthetic_in_car_commands,manual_rule_based_seed
avoid traffic,traffic,synthetic_in_car_commands,manual_rule_based_seed
find a faster route,traffic,synthetic_in_car_commands,manual_rule_based_seed
show road delays,traffic,synthetic_in_car_commands,manual_rule_based_seed
traffic update please,traffic,synthetic_in_car_commands,manual_rule_based_seed
are there accidents nearby,traffic,synthetic_in_car_commands,manual_rule_based_seed
show congestion on the highway,traffic,synthetic_in_car_commands,manual_rule_based_seed
reroute around traffic,traffic,synthetic_in_car_commands,manual_rule_based_seed
how long is the delay,traffic,synthetic_in_car_commands,manual_rule_based_seed
traffic near downtown,traffic,synthetic_in_car_commands,manual_rule_based_seed
check commute traffic,traffic,synthetic_in_car_commands,manual_rule_based_seed
show traffic map,traffic,synthetic_in_car_commands,manual_rule_based_seed
avoid tolls and traffic,traffic,synthetic_in_car_commands,manual_rule_based_seed
is the highway clear,traffic,synthetic_in_car_commands,manual_rule_based_seed
find alternate route,traffic,synthetic_in_car_commands,manual_rule_based_seed
show current road conditions,traffic,synthetic_in_car_commands,manual_rule_based_seed
any traffic alerts,traffic,synthetic_in_car_commands,manual_rule_based_seed
traffic status to work,traffic,synthetic_in_car_commands,manual_rule_based_seed
cancel,cancel,synthetic_in_car_commands,manual_rule_based_seed
stop,cancel,synthetic_in_car_commands,manual_rule_based_seed
never mind,cancel,synthetic_in_car_commands,manual_rule_based_seed
cancel that,cancel,synthetic_in_car_commands,manual_rule_based_seed
stop navigation,cancel,synthetic_in_car_commands,manual_rule_based_seed
cancel the request,cancel,synthetic_in_car_commands,manual_rule_based_seed
forget it,cancel,synthetic_in_car_commands,manual_rule_based_seed
stop the assistant,cancel,synthetic_in_car_commands,manual_rule_based_seed
dismiss,cancel,synthetic_in_car_commands,manual_rule_based_seed
exit,cancel,synthetic_in_car_commands,manual_rule_based_seed
go back,cancel,synthetic_in_car_commands,manual_rule_based_seed
stop current task,cancel,synthetic_in_car_commands,manual_rule_based_seed
cancel route,cancel,synthetic_in_car_commands,manual_rule_based_seed
do not do that,cancel,synthetic_in_car_commands,manual_rule_based_seed
ignore that,cancel,synthetic_in_car_commands,manual_rule_based_seed
close this,cancel,synthetic_in_car_commands,manual_rule_based_seed
stop listening,cancel,synthetic_in_car_commands,manual_rule_based_seed
cancel command,cancel,synthetic_in_car_commands,manual_rule_based_seed
end this,cancel,synthetic_in_car_commands,manual_rule_based_seed
clear request,cancel,synthetic_in_car_commands,manual_rule_based_seed
yes,confirm,synthetic_in_car_commands,manual_rule_based_seed
confirm,confirm,synthetic_in_car_commands,manual_rule_based_seed
that is correct,confirm,synthetic_in_car_commands,manual_rule_based_seed
go ahead,confirm,synthetic_in_car_commands,manual_rule_based_seed
do it,confirm,synthetic_in_car_commands,manual_rule_based_seed
yes please,confirm,synthetic_in_car_commands,manual_rule_based_seed
confirm that,confirm,synthetic_in_car_commands,manual_rule_based_seed
sounds good,confirm,synthetic_in_car_commands,manual_rule_based_seed
proceed,confirm,synthetic_in_car_commands,manual_rule_based_seed
okay,confirm,synthetic_in_car_commands,manual_rule_based_seed
sure,confirm,synthetic_in_car_commands,manual_rule_based_seed
accept,confirm,synthetic_in_car_commands,manual_rule_based_seed
continue,confirm,synthetic_in_car_commands,manual_rule_based_seed
that works,confirm,synthetic_in_car_commands,manual_rule_based_seed
correct,confirm,synthetic_in_car_commands,manual_rule_based_seed
approve,confirm,synthetic_in_car_commands,manual_rule_based_seed
start it,confirm,synthetic_in_car_commands,manual_rule_based_seed
yes continue,confirm,synthetic_in_car_commands,manual_rule_based_seed
please continue,confirm,synthetic_in_car_commands,manual_rule_based_seed
confirm the selection,confirm,synthetic_in_car_commands,manual_rule_based_seed
